"id","name","businessScope","licenseNum","addDate","lastDate","address","certificateCode","corpCode","description","econType","legalMan","provinces","sourceData","url","validTime","area_id","state","searchpath","money","regTime","startDate","endDate","updateDate","termStart","teamEnd","checkDate","authentication","govCode","city","apprDate","manageState","manageStateCN","moneyType","regNo","regOrganization","regOrganizationNum","assetsInvestment","email","legalManTel","tel","alias"
"11","沈阳精诚建设项目管理有限公司","建设工程项目、装饰工程项目策划、设计、咨询、服务；市场营销策划；项目管理（法律、行政法规禁止或限制的项目除外）；建设工程招投标代理（凭资质证经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）","91210112750768422R","12/7/2016 15:48:21","29/5/2019 13:37:03","沈阳市浑南新区浑南四路1号B座2111室",,"75076842-2",,"有限责任公司(自然人投资或控股)","韩膺南","辽宁省","23194","暂无","30/6/2023","9",,,"1200000.00","1/7/2003",,,,"1/7/2003","30/6/2023","22/12/2015",,,,"1/7/2003","1","存续（在营、开业、在册）","人民币","210132000057865","沈阳市浑南区市场监督管理局","210112",,"210132000057865@lnpost.cn",,"15502619951",
"12","辽宁瑞安信招标代理有限公司","工程招标代理；工程造价咨询；工程项目管理；招投标信息咨询服务；工程咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）＊＊＊","91210200341153830F","12/7/2016 15:48:21","30/5/2019 13:06:37","辽宁省大连市沙河口区中龙园27号1单元2层2号",,"34115383-1",,"有限责任公司(自然人投资或控股)","王兆波","辽宁省","326703","暂无","9/7/2045","9",,,"10000000.00","10/7/2015",,,,"10/7/2015","9/7/2045","20/6/2016",,,,"20/6/2016","1","存续（在营、开业、在册）","人民币","210200000658529","大连市沙河口区市场监督管理局","210204",,"342466358@qq.com",,"0411-82559957",
"14","河南省省直建筑设计有限公司","建筑工程设计；晒图复印；工程咨询；从事资质证书许可范围内相应的建设工程总承包业务及项目管理和相关的技术与管理服务。","9141010541580780XW","12/7/2016 15:48:22","30/5/2019 12:24:40","郑州市金水区政五街2号",,"41580780-X",,"有限责任公司（非自然人投资或控股的法人独资）","李建","河南省","23928","暂无","30/12/2063","18",,"520x","4087100.00","31/12/2013",,,,"31/12/2013","30/12/2063","3/5/2016",,,,"3/5/2016","1","存续（在营、开业、在册）",,"410192000120538","郑州市金水区市场监督管理局","410105",,"hnszjzsj@163.com",,"0371-65509265",
"15","河南省河美艺术景观有限公司","城市园林绿化工程；景观环境艺术设计、制作，企业形象设计、城市公共环境园林雕塑，壁画的设计、制作，工艺美术品的制作。","91410105749204646A","12/7/2016 15:48:24","27/5/2019 00:06:11","郑州市金水区经三路32号财富广场C座14层东南户",,"74920464-6",,"有限责任公司(自然人投资或控股)","彭雷","河南省","29025","http://210.12.219.18/jianguanfabuweb/company_details.aspx?corpid=lu%2bXmbANZM616figr8sSRZru2lnvMXYeuP%2bGohAwB6UxxSKZC52vYX6rb21FnEmo1B2M2Y8AsgTpgAmY7PhCfhAAAAA%3d",,"18",,"532x","20000000.00","2/7/1998",,,,"2/7/1998",,"13/7/2016",,,,"13/7/2016","1","存续（在营、开业、在册）",,"410100100047655","郑州市金水区市场监督管理局","410105",,,,,
"16","抚宁环宇通讯工程有限公司","按建设部门核发的资质证书从事：通讯工程安装与维修；室内外装饰装修工程；土木工程；园林绿化工程；市政工程；通信线路和设备安装、维护；网络工程安装与维修；通讯设备安装与维修；软件开发、信息系统集成服务；信息技术咨询服务；数据处理和存储服务；安全技术防范系统设计、施工、维修；计算机、软件及辅助设备、投影仪、其他机械设备及电子产品、通讯器材、针纺织品、五金、建材、电料、金属材料、塑钢门窗及不锈钢门窗销售、安装；房屋租赁；汽车租赁**（依法须经批准的项目，经相关部门批准后方可开展经营活动）","911303237984382627","12/7/2016 15:48:24","29/5/2019 20:31:37","河北省秦皇岛市抚宁区抚宁镇天马大街",,"79843826-2",,"有限责任公司","卢振生","河北省","266875","暂无",,"7",,"411x700x","10000000.00","1/11/2005",,,,"1/11/2005",,"6/11/2015",,,,,,,,,,,,,,"0335-6012006",
"17","青岛平度市市政工程有限公司","市政公用工程、公路工程、水利水电工程、房屋建筑工程、机电安装工程、矿山工程、绿化工程、管道安装工程、城市及道路照明工程、土石方工程、体育场地设施工程、地基与基础工程、市政养护维修工程、建筑智能化工程、通信工程（不含地面卫星接收设备及高频发射器材安装）施工（凭资质经营）；网络工程（不含互联网上网服务及增值电信业务）设计、施工（凭资质经营）；机械租赁；物业管理（以上凭资质经营）；城市生活垃圾经营性清扫、收集、运输、处理；保洁服务；市政设施维护、检修、保养；房屋租赁、场地租赁；合同能源管理；城市、道路、景观照明节能技术研发；LED照明设备研发、销售；太阳能光伏发电工程、污水处理工程、景观亮化工程设计（凭资质经营）；安防监控设备设计、安装；计算机系统集成；软件设计、开发；软件技术开发、技术服务、技术应用；国内劳务派遣（《劳务派遣经营许可证》有效期限以许可证为准）；通信设备安装、租赁、销售、维护、技术服务、技术咨询（不含卫星地面接收设备及高频发射器材）；网络设备租赁及维护；公厕管理服务；普通货物运输；渣土运输；餐厨废弃物收运；道路护栏保洁；管道疏通；公厕的设计、制造、建设、维修、销售、租赁、安装及调试；垃圾分类的方案设计与运营管理；环境卫生信息咨询服务与运营管理；停车场运营管理；经营其它无需行政审批即可经营的一般经营项目。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","91370283164091236L","12/7/2016 15:48:24","30/5/2019 10:27:26","山东省青岛市平度市南京路789-1号",,"91370283164091236L",,"有限责任公司(自然人投资或控股)","祝鸿增","山东省","325517","暂无",,"17",,"405x407x421x","100000000.00","27/3/2006",,,,"27/3/2006",,"15/7/2016",,,,"17/3/1994","1","在营（开业）企业",,"370283228507075","平度市市场监督管理局","370283",,"pingshizhengcaiwu@163.com",,"0532-88372260",
"18","湖南银峰建设工程有限公司","市政工程、房屋建筑工程、水利水电工程、土石方工程、环保工程、消防工程、公路工程、安防工程、交通安全设施工程的施工；工程项目管理；计算机系统集成。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","914300000749882261","12/7/2016 15:48:25","29/5/2019 03:18:18","湖南省长沙市芙蓉区杨家山小区031栋（杨家山002栋）705房",,"914300000749882261",,"有限责任公司（自然人投资或控股）","朱丽琪","湖南省","218817","http://210.12.219.18/jianguanfabuweb/company_details.aspx?corpid=lu%2bXmbANZM616figr8sSRTisprJyZ5oGiYEIGg1pQZ8RfDjopGXGD9UFbQUJCGY51B2M2Y8AsgTpgAmY7PhCfhAAAAA%3d",,"20",,"381x408x715x","30000000.00","13/8/2013",,,,"13/8/2013","12/8/2063","28/3/2016",,,,,,,,,,,,,,,
"19","湖南飞恒安全消防设备有限公司","消防设施工程专业承包壹级；消防设施工程的设计、维护 、保养；机电设备安装工程、建筑装饰装修工程、建筑智能化工程的设计、施工；消防器材、建筑材料、电子产品的研发、生产、销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动)","91430102712107500C","12/7/2016 15:48:26","28/5/2019 00:10:00","湖南省长沙市芙蓉区荷花园街道远大一路280号湘域相遇B栋1810、1811室",,"71210750-0",,"有限责任公司(自然人投资或控股)","欧阳惠春","湖南省","268810","暂无","17/3/2049","20",,"700x707x708x","10010000.00","18/3/1999",,,,"18/3/1999","17/3/2049","26/4/2016",,,,"18/3/1999","1","存续（在营、开业、在册）","人民币","430000000053447","长沙市工商行政管理局芙蓉分局","430102",,"2370436@qq.com",,"0731-84445832",
"20","化学工业岩土工程有限公司","承包境外地基与基础工程、境内国际招标工程及境外工程所需设备、材料出口；对外派遣实施境外工程所需劳务人员；承包境外岩土工程和境内国际招标工程；承包境外上述工程的勘测、咨询、设计和监理项目；上述境外工程所需的设备、材料出口；对外派遣实施上述境外工程所需的劳务人员；工程勘察（甲级）；（工程地质勘察、岩土工程、水文地质勘察及钻井、工程测量及城市规划测量），岩土工程包括岩土工程勘察；岩土工程设计、岩土工程治理、岩土工监测和岩土工程监理；工程咨询（甲级）；地基与基础工程施工（一级）；生态修复、污染土治理、环保工程、场地调查、环境评价、环境技术咨询；地理信息系统工程、不动产测绘、摄影测量与遥感；土壤与地下水修复、河道治理、湖泊治理、环境影响评价、污染水处理、地质灾害治理、生态流域治理、矿山治理、特种工程专业承包。","9132010013489525X8","12/7/2016 15:48:26","30/5/2019 12:48:18","南京市江北新区大厂街道杨新路357号",,"13489525-X",,"有限责任公司（非自然人投资或控股的法人独资）","褚世仙","江苏省","232322","http://210.12.219.18/jianguanfabuweb/company_details.aspx?corpid=lu%2bXmbANZM616figr8sSRTisprJyZ5oGiYEIGg1pQZ9xsmMmiVW2YhbomtLLSPsv1B2M2Y8AsgTpgAmY7PhCfhAAAAA%3d","1/4/2041","12",,"593x914x1028x1761x","170500000.00","2/4/1991",,,,"2/4/1991","1/4/2041","12/5/2016",,,,"2/4/1991","1","存续（在营、开业、在册）","人民币","320100000004823","南京市江北新区管理委员会市场监督管理局","320191",,,,,
"21","吴忠市金积建筑工程公司","房屋建筑工程二级（可承担单项建安合同额不超过企业注册资本金5倍的房屋建筑工程的施工）；建筑装修装饰工程专业承包贰级（依法须经批准的项目，经相关部门批准后方可开展经营活动）","916403002282803287","12/7/2016 16:10:28","17/5/2019 21:39:18","吴忠市利通区金积镇东门",,"916403002282803287",,"集体所有制","任兴华","宁夏回族自治区","336041","暂无",,"33",,"380x408x702x","20000000.00","19/7/1990",,,,"19/7/1990","12/3/2019","24/8/2012",,,,"19/7/1990","1","存续（在营、开业、在册）",,"640300000000785","吴忠市市场监督管理局","640300",,"249321076@qq.com",,"13995331356",
"22","青岛云溪建筑安装工程有限公司","可承担16层以下、24米跨度以下的建筑物，高度50米以下的构筑物的建筑施工。屋面防水，工业与民用建筑装饰，建筑用金属结构、框架、支柱的制造、安装。施工机械、设备及模板钢管租赁。房屋租赁。销售：建筑材料，装饰材料，五金，钢材，木材。（以上范围需经许可经营的，须凭许可证经营）。","91370281169673315M","12/7/2016 16:10:30","30/5/2019 10:29:47","青岛胶州市滕州路１０号",,"91370281169673315M",,"有限责任公司","邓菲","山东省","457697","暂无",,"17",,"381x408x702x715x","1000000.00","4/5/1995",,,,"4/5/1995",,"18/5/2016",,,,"4/5/1995","1","在营（开业）企业",,"370281228010706","胶州市市场监督管理局","370281",,"284071485@qq.com",,"0532-87210273",
"23","中车青岛四方车辆研究所有限公司","车辆及零部件、车辆配套设备，铁路及民用高新技术开发及咨询服务；车辆零部件加工组装，车辆配套设备安装调试；技术转让，技术协作，技术培训；房屋租赁，设备租赁；设计、制作、发布〈铁道车辆〉、〈国外铁道车辆〉杂志广告业务；进出口业务，机电安装（不含特种设备）。
（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","91370200264582788W","12/7/2016 16:10:31","30/5/2019 11:03:06","青岛市四方区瑞昌路231号",,"91370200264582788W",,"有限责任公司(非自然人投资或控股的法人独资)","孔军","山东省","457683","http://www.srsri.com",,"17",,"413x707x","1290000000.00","10/6/1994",,,,"10/6/1994",,"7/12/2015",,,,"10/6/1994","1","在营（开业）企业",,"370200018050643","青岛市工商行政管理局","370200",,"qiaoyanzhen@srsri.com",,"0532-86083101",
"24","山东欧龙铁路工程有限公司","铁路工程；铁路电务工程；公路工程；建筑工程；电子与智能化工程；通信工程；电力工程；电务配套设备的安装及相关技术咨询、技术服务；施工劳务分包；批发、零售：建材、机械设备、非专控通讯设备。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","91370102758274259N","12/7/2016 16:10:33","8/5/2019 15:21:29","山东省济南市历下区二环东路5001号和瑞中心B座1512",,"91370102758274259N",,"有限责任公司(自然人投资或控股)","于建涛","山东省","455624","暂无",,"17",,"700x980x","10000000.00","19/1/2004",,,,"19/1/2004",,"6/6/2016",,,,"19/1/2004","1","在营（开业）企业",,"370000228037865","济南市历下区市场监督管理局","370102",,"fenglizhi12368@163.com",,"13854155058",
"25","济南颖耀新型建材有限公司","新型复合保温板及干粉砂浆的生产；建材、化工产品（不含危险品）、装饰材料、五金交电、机械设备、电子产品的批发、零售；外墙保温、建筑防腐防水工程（以上凭资质证经营）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)","91370126582208337X","12/7/2016 16:10:34","27/5/2019 16:57:05","山东省济南市商河县玉皇庙民营经济产业园东区玉杨路东头",,"58220833-7",,"有限责任公司(自然人投资或控股)","任荣","山东省","457674","http://www.jinanyingyao.com",,"17",,"702x","20010000.00","22/9/2011",,,,"22/9/2011",,"22/7/2015",,,,"22/9/2011","1","在营（开业）企业",,"370100200195837","商河县市场监督管理局","370126",,"1451067718@qq.com",,"15053192968",
"26","青岛固安特建筑节能开发有限公司","研制开发推广建筑节能技术；建筑节能设备销售；建筑保温体系安装；建筑设备租赁；建筑劳务分包（凭资质经营）；建筑保温材料、聚合物干粉砂浆生产、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","91370283664516341P","12/7/2016 16:10:35","1/5/2019 17:18:56","青岛平度市经济开发区香江路8号",,"91370283664516341P",,"有限责任公司（自然人投资或控股）","姜世雄","山东省","457687","暂无",,"17",,"702x","26000000.00","3/8/2007",,,,"3/8/2007","2/8/2027","13/7/2016",,,,,,,,,,,,"qingdaoguante@163.com",,"0532-88351768",
"27","青岛中益轩保温装饰工程有限公司","室内外装饰装潢工程设计及施工；防水工程、防腐工程、外墙保温工程施工；涂料粉刷；批发、零售：建筑材料、装饰装潢材料、不锈钢制品；广告牌设计、安装；经营其他无需审批即可经营的一般经营项目。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","913702110690512878","12/7/2016 16:10:37","27/5/2019 10:08:56","山东省青岛市黄岛区崇明岛东路8号166室",,"913702110690512878",,"有限责任公司(自然人投资或控股)","程元松","山东省","457700","暂无",,"17",,,"10000000.00","17/5/2013",,,,"17/5/2013",,"7/1/2016",,,,"17/5/2013","1","在营（开业）企业",,"370211230108597","青岛市黄岛区市场和质量监督管理局","370211",,"364790808@qq.com",,"18563934118",
"28","青岛东凯建筑安装工程有限公司","建筑工程、道路工程、市政公用工程、土石方工程、室内外装饰装潢工程、钢结构工程、防水防腐保温工程、园林绿化工程、消防工程、地基与基础工程、室外体育设施工程、楼宇智能化工程、幕墙工程、城市照明电力工程；房屋拆迁（不含爆破）；批发：建材；机械设备、机电设备租赁、安装、维修（不含特种设备）；建筑物管道、电力系统安装（不含特种设备）；工程勘察设计；工程项目管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","913702121636386661","12/7/2016 16:10:38","30/5/2019 10:29:55","青岛市李沧区大崂路1002号1301室",,"913702121636386661",,"其他有限责任公司","程祥雨","山东省","457710","暂无",,"17",,"380x","100000000.00","11/10/1995",,,,"11/10/1995",,"10/8/2015",,,,"11/12/1993","1","在营（开业）企业",,"370212228077058","青岛市李沧区市场监督管理局","370213",,"dongkai901@126.com",,"0532-80979988",
"29","青岛机械化施工有限公司","工业与民用建筑机械化施工（二级）；地基与基础工程；土石方工程；钢结构工程；电梯安装维修；施工机械租赁；零售、批发：工程机械配件、汽车配件、电梯配件、建筑装饰材料、建筑五金；工程机械维修。
（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","91370200163570593B","12/7/2016 16:10:40","17/5/2019 08:48:27","青岛市市北区兴隆路129号",,"91370200163570593B",,"有限责任公司","朱鹏","山东省","457722","暂无","25/11/2055","17",,"714x915x","8000000.00","28/12/1980",,,,"28/12/1980","25/11/2055","28/4/2016",,,,"28/12/1980","1","在营（开业）企业",,"370200018026223","青岛市工商行政管理局","370200",,"llddql@126.com",,"13805420189",
"30","山东金鼎昌消防工程有限公司","消防设施工程、建筑施工;维修手提贮压式干粉灭火器，推车贮压式干粉灭火器;维护保养建筑防火分隔和安全疏散设施，消防给水设施，排烟设施，消防电气和通信设施、自动喷水灭火系统、火灾自动报警系统、气体灭火系统、泡沫灭火系统、消防电梯、其他固定灭火系统；电动、电控门窗、铝合金、塑钢门窗、消防栓箱、低压电器控制设备加工销售；灭火器、消防材料、钢材、木材销售；公共安全技术防范工程施工，灭火器维修；经营其它无需行政审批即可经营的一般经营项目。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","913702112671603451","12/7/2016 16:10:41","10/5/2019 22:10:47","山东省青岛市黄岛区黄浦江路20-1（栋）1-2楼102号",,"913702112671603451",,"有限责任公司","李川","山东省","457736","www.shandong-jinding.com","29/10/2024","17",,"709x","31000000.00","26/5/1999",,,,"26/5/1999","29/10/2024","27/4/2016",,,,"17/4/2018","1","在营（开业）企业","人民币","370000228003451","青岛市黄岛区市场和质量监督管理局","370211",,"sdjdcxf@163.com",,"0532-86881213","山东省金鼎电动设备制造有限公司"
"31","甘肃成通建设工程有限责任公司","建筑设备租赁，室内装修、装饰建筑工程施工：管道工程施工、市政工程施工、水利工程、房屋拆除、建筑装饰工程施工、公路施工、土石方工程施工、物业管理（须经相关部门批准的项目，经相关部门批准后方可开展经营活动）***","91621226316079093K","12/7/2016 16:10:42","24/5/2019 19:12:12","甘肃省陇南市礼  县城关镇东新北路",,"31607909-3",,"有限责任公司(自然人独资)","赵美银","甘肃省","458472","暂无","24/10/2023","27",,"381x","15000000.00","14/11/2014",,,,"14/11/2014","13/11/2018","8/7/2016",,,,"14/11/2014","1","存续（在营、开业、在册）","人民币","621226200003574","礼县工商行政管理局","621226",,"18093991880@163.com",,"18093991880",
"33","丹东泓诚建筑装饰工程有限公司","室内外装饰装修工程、土木建筑工程、园林绿化工程、道桥工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）","91210600552583179W","12/7/2016 16:10:45","28/4/2019 12:50:16","丹东市振安区东方枫景小区16号楼5号",,"55258317-9",,"有限责任公司(自然人投资或控股)","原泉","辽宁省","458152","暂无","19/4/2020","9",,"702x","6000000.00","19/4/2010",,,,"19/4/2010","19/4/2020","26/4/2016",,,,"19/4/2010","1","存续（在营、开业、在册）","人民币","210600004060195","丹东市振安区市场监督管理局","210604",,"liguojiao123@126.com",,"0415-2896187",
"34","吴忠市鸿赢水利工程建设有限责任公司","水利水电工程三级：可承担单项合同额不超过注册资本金5倍的下列工程的施工：库容量1000万立方米、装机容量10MW及以下水利水电工程及辅助生产设施的建筑、安装和基础工程施工。工程内容包括：不同类型的大坝、电站厂房、引水和泄水建筑物、通航建筑物、基础工程、导截流工程、砂石料工程、水轮发电机组、输变电工程的建筑安装；金属结构制作安装；压力钢管、闸门制作安装；堤防加高加固、泵站、涵洞、隧道、施工公路、桥梁、河道疏浚、灌溉、排水工程施工水利施工****(依法须经批准的项目，经相关部门批准后方可开展经营活动)","916403006842006946","12/7/2016 16:10:45","8/5/2019 15:22:06","吴忠市西环路盐业公司院内四楼",,"916403006842006946",,"有限责任公司(自然人投资或控股)","李建林","宁夏回族自治区","458287","暂无","10/2/2019","33",,"393x","6000000.00","11/2/2009",,,,"11/2/2009","10/2/2019","9/8/2011",,,,"11/2/2009","1","存续（在营、开业、在册）",,"640300200004826","吴忠市市场监督管理局","640300",,"1403276010@qq.com",,"13895339576",
